"run","plan","response","receivedAtMs","socketGeneration","globalRegionEndMs","latestProviderConfirmedAudioMs","providerRegionLagMs","audioLiveEdgeLagMs","legacyLatestChunkToMessageMs","isFinal","speechFinal"
"4","","11","11152","4","9760","9760","973","960","57","false","false"
"4","","12","11495","4","10800","10800","235","240","67","false","false"
"4","","13","12584","4","11970","11970","154","110","71","true","true"
"4","","14","13628","4","13039.9997","13039.9997","34","80","34","false","false"
"4","","15","14707","4","14079.9997","14079.9997","29","80","28","false","false"
"4","","16","15133","4","14479.9993","14479.9993","38","80","38","false","false"
"4","","17","16218","4","15520.0002","15520.0002","38","80","39","false","false"
"4","","18","17307","4","16559.999","16559.999","28","80","28","false","false"
"4","","19","17834","4","16249.9997","16559.999","890","560","55","true","false"
"4","","20","18066","4","17280.0007","17280.0007","37","80","37","false","false"
"4","","21","18323","4","17520.000500000002","17520.000500000002","44","80","44","false","false"
"4","","22","19408","4","18559.999499999998","18559.999499999998","45","80","45","false","false"
"4","","23","20492","4","19600.0004","19600.0004","46","80","46","false","false"
"4","","24","21564","4","20639.9994","20639.9994","35","80","36","false","false"
"4","","25","22236","4","20319.9997","20639.9994","1043","720","41","true","false"
"4","","26","22317","4","21360.0009","21360.0009","41","80","41","false","false"
"4","","27","23088","4","22080.0002","22080.0002","67","80","67","false","false"
"4","","28","24149","4","23120.0011","23120.0011","37","80","38","false","false"
"4","","29","25241","4","24160.0002","24160.0002","45","80","45","false","false"
"4","","30","25941","4","24760.000500000002","24760.000500000002","163","120","79","true","true"
"4","","31","26930","4","25760","25760","50","80","50","false","false"
"4","","32","27347","4","26079.9997","26079.9997","134","160","51","true","true"
"4","","33","28332","4","27120.0009","27120.0009","36","80","36","false","false"
"4","","34","29421","4","28160","28160","44","80","45","false","false"
"4","","35","30346","4","28959.9992","28959.9992","132","160","52","true","true"
"4","","36","31336","4","30000.0009","30000.0009","41","80","41","false","false"
"4","","37","32417","4","31040.0018","31040.0018","38","80","39","false","false"
"4","","38","33518","4","32080.0027","32080.0027","56","80","56","false","false"
"4","","39","35074","4","33120","33120","529","560","32","false","false"
"4","","40","35574","4","33930.001000000004","33930.001000000004","197","230","30","true","false"
"4","","41","36701","4","34959.9988","34959.9988","239","240","70","false","false"
"4","","42","37664","4","35999.9997","35999.9997","100","160","17","false","false"
"4","","43","38718","4","37040.0006","37040.0006","72","80","72","false","false"
"4","","44","39815","4","38080.0015","38080.0015","89","160","2","false","false"
"4","","45","40728","4","37700.0005","38080.0015","1415","960","65","true","false"
"4","","46","40731","4","38959.9983","38959.9983","69","80","69","false","false"
"4","","47","41793","4","39999.9992","39999.9992","46","80","46","false","false"
"4","","48","42649","4","40779.998","40779.998","153","100","69","true","true"
"4","","49","43707","4","41840.0014","41840.0014","44","80","44","false","false"
"4","","50","44784","4","42880.0023","42880.0023","38","80","38","false","false"
"4","","51","45882","4","43919.9994","43919.9994","53","80","52","false","false"
"4","","52","46994","4","44960.0003","44960.0003","80","80","80","false","false"
"4","","53","47605","4","45520.0017","45520.0017","74","80","74","false","false"
"4","","54","47772","4","45669.9994","45669.9994","144","90","58","true","true"
"4","","55","48837","4","46720.003","46720.003","40","80","39","false","false"
"4","","56","49835","4","47680.0021","47680.0021","38","80","38","false","false"
"4","","57","50926","4","48720.003","48720.003","46","80","46","false","false"
"4","","58","52019","4","49760","49760","41","80","41","false","false"
"4","","59","52407","4","50080.0037","50080.0037","94","160","10","false","false"
"4","","60","53054","4","50010","50080.0037","825","720","75","true","false"
"4","","61","53423","4","51040.0026","51040.0026","109","160","25","false","false"
"4","","62","53637","4","51220.0029","51220.0029","157","140","74","true","true"
"4","","63","54634","4","52240.0005","52240.0005","57","80","57","false","false"
"4","","64","55728","4","53279.9976","53279.9976","66","80","66","false","false"
"4","","65","56819","4","54319.9985","54319.9985","73","80","72","false","false"
"4","","66","57899","4","55359.9994","55359.9994","61","80","61","false","false"
"4","","67","58827","4","56189.9974","56189.9974","147","130","63","true","false"
"4","","68","59802","4","57200.0021","57200.0021","38","80","38","false","false"
